image_path,label
plantGuard_dataset/images/Peach___Bacterial_spot/2bd5644e-eadf-4134-9e94-cb8a93c298f7.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Potato___Early_blight/9b3deb9f-13cd-40d4-829e-c4566b495533.JPG,Potato___Early_blight
plantGuard_dataset/images/Tomato___Target_Spot/3f9e1c0a-16df-45bb-9470-b3e06032cc4c.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Blueberry___healthy/70753483-0a6a-4b03-b8ea-14a88507e169.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/8e2e569a-5259-42e5-bdb9-cca2064d08d2.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Soybean___healthy/bfe72611-4d43-4642-9a52-6114c1b7f4fe.JPG,Soybean___healthy
plantGuard_dataset/images/Soybean___healthy/3f65414a-87ee-4330-a189-2f263f076b38.JPG,Soybean___healthy
plantGuard_dataset/images/Potato___Late_blight/17af047f-9b48-46b2-9112-d439c22ebf7c.JPG,Potato___Late_blight
plantGuard_dataset/images/Potato___Early_blight/986750d2-6169-4816-bccb-69069c325e4b.JPG,Potato___Early_blight
plantGuard_dataset/images/Apple___healthy/7e1e6ac3-c218-4c7d-a2db-d0be943b07a8.JPG,Apple___healthy
plantGuard_dataset/images/Tomato___Late_blight/3f05d6cf-0150-4186-8f0e-655a65c623a5.JPG,Tomato___Late_blight
plantGuard_dataset/images/Blueberry___healthy/95bd0597-b56d-4924-ba16-c49c7c6320ca.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Leaf_Mold/4879971c-7e97-4340-8582-2ea400687d56.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Soybean___healthy/d3b642a8-9126-43c4-b6e7-d6a04a86144f.JPG,Soybean___healthy
plantGuard_dataset/images/Strawberry___Leaf_scorch/716ba9c0-4f69-455c-b7df-e1aa330ed1ee.JPG,Strawberry___Leaf_scorch
plantGuard_dataset/images/Squash___Powdery_mildew/9399d91e-502d-4e61-9ed4-55ebf93be891.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/73109b65-8f77-4419-a228-594fb9b488be.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plantGuard_dataset/images/Tomato___Bacterial_spot/1148009a-6050-434b-96a5-49b4045cc977.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/ab4b4060-1d56-417f-8ad8-fd6ef0a21edc.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/9d142d34-c2e6-4153-a242-f7f80c2f663c.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Soybean___healthy/ff2657fe-65c9-4e6e-b399-bd72edd9086f.JPG,Soybean___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/a98c618e-879c-4b72-ab2c-16b969894db3.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/d387e6e4-5508-4e4c-a5a2-a7bf2a208f4d.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Soybean___healthy/51016f27-90c7-4e25-bc12-ba97dbb0fa15.JPG,Soybean___healthy
plantGuard_dataset/images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/9c707212-6a98-40af-a5d9-02b0b8d743ed.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/fd60f4a3-7706-4cd3-b549-ef5bc8418fd8.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ba4956e8-f877-488a-9b5c-0491eccfe3f9.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Potato___Late_blight/9b5c3727-5602-45c9-ad86-e393869e29ef.JPG,Potato___Late_blight
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/759de6b2-068f-4f0f-b329-ab915b4aa4eb.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/84410ee8-e52d-4237-9e21-fcb16af67b90.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___healthy/7dbf11c8-ba8b-4741-8d0e-9b44bbe81c71.JPG,Tomato___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/c1ab51cd-e946-4273-a1f3-192e28e4f516.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Potato___Late_blight/ff88eeea-aa7a-4975-9e3c-a9c9684941eb.JPG,Potato___Late_blight
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0bc0ff53-2aaa-46a1-a66a-947c2d1df297.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/e75b2ffb-6983-4215-901c-7550905bcd1f.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___Common_rust_/e3d2a3c8-c1a1-4eb6-925f-82a197cb95dd.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/17a174a5-eb2b-40bf-b98d-f87dc618c351.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Tomato___Late_blight/7611f6db-aa75-4501-b5e9-9ad720134af2.JPG,Tomato___Late_blight
plantGuard_dataset/images/Tomato___Target_Spot/4325f499-15d9-4ab9-832e-44001edc73fb.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/2094ac10-a10b-4421-9a22-9ce701fe196f.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/25112fb7-f0fe-4f47-bba7-9641ea881fd5.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/1f2cc8b5-13b3-4947-a42e-f993fbc133f8.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/5401bf1b-5a5c-4ed0-b4e9-6ac01e1d48f9.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/b5296dac-8472-4768-b76b-2265284a73b6.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Squash___Powdery_mildew/ea0ee164-76c0-4986-93dd-64a2039019c2.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Squash___Powdery_mildew/97d295dc-db66-4c61-bb24-50ed8feedac7.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Raspberry___healthy/0835e814-dd30-48e5-988f-8520a5bac01d.JPG,Raspberry___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/089efbac-c19e-4dba-b63a-cc59dbdc7d22.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Tomato___Tomato_mosaic_virus/0b3d58de-e1af-4648-883c-be87eb8f92ef.JPG,Tomato___Tomato_mosaic_virus
plantGuard_dataset/images/Tomato___Bacterial_spot/bc963e8d-e68e-4abf-a870-99af293f8bec.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Apple___healthy/83292c5a-eb1b-4304-b3a0-2a82f2a64e3b.JPG,Apple___healthy
plantGuard_dataset/images/Soybean___healthy/48f36fbd-919d-4d2f-88d0-df8141691560.JPG,Soybean___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/e5d4502f-bc25-40cb-94e8-35599c76a8b3.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Cherry_(including_sour)___healthy/f849e81a-f6a7-4db6-b76c-d18b41f9e850.JPG,Cherry_(including_sour)___healthy
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/3cc2782d-4a99-4061-9cc3-c3e3555e21d8.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Late_blight/3aa22b86-cfe5-4064-a35d-5da74b2fb77b.JPG,Tomato___Late_blight
plantGuard_dataset/images/Soybean___healthy/f55b9bf2-c6a3-43ea-9aee-7dee9c21ae53.JPG,Soybean___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/9fba8726-d667-4668-82c5-60299ff1cebf.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/b261c582-d655-4829-981f-0f62c1b027b1.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/5bcc35b9-b224-4f2b-acd7-a4a0372aa26c.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Early_blight/15c53a87-6518-483e-be77-0a9a761be704.JPG,Tomato___Early_blight
plantGuard_dataset/images/Apple___Black_rot/5d1d64c9-6266-4c46-bc5d-9d8042f966be.JPG,Apple___Black_rot
plantGuard_dataset/images/Tomato___Target_Spot/2230b686-da9d-4f6b-b58b-292f45475e5a.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Peach___Bacterial_spot/9ece37f0-71be-4ee4-9961-6cfe534718fe.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/78be5a82-2c55-406d-9361-d05af7aee58b.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Apple___Apple_scab/50c567f0-14f9-4903-87d1-82a1a3f66489.JPG,Apple___Apple_scab
plantGuard_dataset/images/Tomato___Leaf_Mold/f1b51126-4f71-499f-8991-3c01fb408e08.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/aad43f03-c310-472f-b433-bb0b62fb7625.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Tomato___Tomato_mosaic_virus/12439810-5508-41cd-9c27-12be5b9eecd0.JPG,Tomato___Tomato_mosaic_virus
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/96687304-5a5a-4b2b-9e71-fd73e92f7d45.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Apple___healthy/43e4e02b-cc8f-44b4-84b1-2a64f4cc06dd.JPG,Apple___healthy
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/a3b238ea-d6a9-41fa-9263-68f63eb2dfb8.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/5644cf50-605b-4765-ac81-d964a8399044.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Cherry_(including_sour)___healthy/1117acf1-5b52-49db-8a2d-40b17390322e.JPG,Cherry_(including_sour)___healthy
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/87dd4cf2-3d9a-4c8b-875d-018df0b9ac91.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Apple___Black_rot/8b4824a2-ea0e-4872-aef0-70e45a3aa99f.JPG,Apple___Black_rot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/bdd794e9-2207-4374-9a54-1db492ecc6c4.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/b6c644cc-5475-41ea-90c5-2bac2b98ee2d.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Late_blight/bdc7e306-2386-4281-bd9f-bb40cd916b52.JPG,Tomato___Late_blight
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/b96f7e7b-d066-405f-9e41-27cff30a2aa7.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Potato___Late_blight/21c5b11b-6ef0-46d8-83ca-a7ee53cfb072.JPG,Potato___Late_blight
plantGuard_dataset/images/Tomato___Leaf_Mold/cf5cc44c-12a7-4aab-90df-6b6cbfaafcac.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/a4ce57dc-33f9-4e92-b763-0faffacc0c45.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Grape___Black_rot/2b743b7a-9c70-42c7-9c7e-a9aba6952251.JPG,Grape___Black_rot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0873b316-4bd1-4faa-8eac-50cec094b4e6.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/ab195549-d63e-479f-b1a3-6b9313ed65a0.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/9fba5865-7bf9-4b19-aee7-09e415ccb7f0.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Soybean___healthy/35373352-34cc-4305-bbdd-8ed3b081688d.JPG,Soybean___healthy
plantGuard_dataset/images/Apple___healthy/5547c7f4-9274-4e40-a340-bb89afea9d43.JPG,Apple___healthy
plantGuard_dataset/images/Apple___healthy/2599cf20-8788-4e64-8d5c-13abeddea538.JPG,Apple___healthy
plantGuard_dataset/images/Tomato___Tomato_mosaic_virus/e41e922d-7ba2-4193-9c49-4fa0e596da65.JPG,Tomato___Tomato_mosaic_virus
plantGuard_dataset/images/Grape___Black_rot/f46abfa8-e230-4a24-aec1-bfd80e49c5b2.JPG,Grape___Black_rot
plantGuard_dataset/images/Blueberry___healthy/80146a58-99cc-4d1f-b868-a2c977f961fd.JPG,Blueberry___healthy
plantGuard_dataset/images/Blueberry___healthy/d0072edd-137f-4db0-adc5-b8d5bb46fc65.JPG,Blueberry___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/a1605f9e-67f8-4cdd-8c62-f562ef96c1f7.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Raspberry___healthy/afb324ac-2c78-4b14-893e-5ea0ff0f194e.JPG,Raspberry___healthy
plantGuard_dataset/images/Tomato___Leaf_Mold/a9516126-bd7f-4f48-a89e-7e958cbc1a26.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Peach___Bacterial_spot/260ca80f-b80d-40fb-9821-bd12f1215869.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/428ca4fb-4575-4a93-952d-aa9293eba79c.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/6bf7838b-44c0-4495-93bf-b07ef0971911.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Blueberry___healthy/1381f8b0-43de-4567-a929-c573abcdc19a.JPG,Blueberry___healthy
plantGuard_dataset/images/Strawberry___Leaf_scorch/cf0855b8-4613-4641-a4dc-7e8b448121d6.JPG,Strawberry___Leaf_scorch
plantGuard_dataset/images/Corn_(maize)___Common_rust_/cdfa665a-40c4-4cfb-97bd-64f8fa447b10.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Squash___Powdery_mildew/d5326ee8-5131-4610-b1c0-d8a603109592.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/8ce93716-21a7-45d2-9df5-c1eddcf82011.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/54091c3b-b4c7-4719-b8ba-21d3b680c2b5.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Apple___healthy/142c8c86-378a-4e52-a7e9-5fa9e34a10b2.JPG,Apple___healthy
plantGuard_dataset/images/Blueberry___healthy/b670efc1-ccaa-43cd-9a21-ebccb605e819.JPG,Blueberry___healthy
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/4caa1e79-f91c-4f1c-9d03-84a1f75585f4.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Soybean___healthy/13f41793-c201-43b7-9990-1f0cb57f581a.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___healthy/db1b4f04-a5f0-4716-9400-99e1868003b9.JPG,Tomato___healthy
plantGuard_dataset/images/Soybean___healthy/81fda82d-9d8a-4c47-be87-ee37fb0d143c.JPG,Soybean___healthy
plantGuard_dataset/images/Soybean___healthy/9d52890a-3583-46c7-949b-287f92e45983.JPG,Soybean___healthy
plantGuard_dataset/images/Soybean___healthy/6b05a3f9-0ff1-4c4a-bdd1-ef5de2d0a8a8.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___healthy/12f1dca0-1cfd-4362-85e9-074c55086f43.JPG,Tomato___healthy
plantGuard_dataset/images/Tomato___Leaf_Mold/1a31a748-e80e-44b9-b8e0-d5b4dfda479c.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Soybean___healthy/659da08e-b27d-4b45-9a4a-7f39ece3ce88.JPG,Soybean___healthy
"plantGuard_dataset/images/Pepper,_bell___healthy/d9fde933-ade7-4990-bd74-b3fb8b873faf.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Blueberry___healthy/cceb1032-ea04-406e-ad19-811475a673d8.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Bacterial_spot/366e30bf-a9b4-4c74-aea7-ef4966a4297c.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/6d8f0636-7086-4158-9f55-75819f12fe9d.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Target_Spot/83c66d97-2b33-4a06-9b83-201bae6dd58f.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Peach___healthy/54fb2ca7-2bf1-45cd-a4f2-89972d59e735.JPG,Peach___healthy
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/f6130c63-7611-495b-964a-ebc64f0412b0.JPG,Grape___Esca_(Black_Measles)
"plantGuard_dataset/images/Pepper,_bell___healthy/64cbb415-804b-42e5-ab6a-581dc99a6d4f.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/d58cd6ea-99f3-49c4-8536-3460eccd6bd4.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/64a83792-d5ed-4bff-8acc-f51c2ebd43b4.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/6a3431d3-d44f-45b4-99b5-704fc3f8bc5f.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Apple___Black_rot/e4efae38-bf32-4d85-8058-e653ee213fbb.JPG,Apple___Black_rot
plantGuard_dataset/images/Soybean___healthy/a7705e0b-da33-45ec-a1e6-6e288e40f7db.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Leaf_Mold/26bad7fd-54f0-4b9f-9ffe-6a394dbb6e7c.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0504d128-9e2c-408d-a51c-2387770aae83.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/428cb49a-18c7-4858-85df-b7c05e2009ec.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Apple___Apple_scab/c67b601e-4e54-4584-9615-b6185b34cc3d.JPG,Apple___Apple_scab
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/22edd675-4242-4db8-bf7f-865f554f0df9.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/9a2cfe21-f877-4bbd-8c91-fdc7f058e590.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___healthy/aeebb8bc-44ac-411e-b184-5612214e529f.JPG,Tomato___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/ae81d4c8-314f-4faa-92df-70506e3cbe99.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___healthy/be5998ed-3226-4e13-8f1a-f31e6c1acbb8.JPG,Tomato___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ae05d793-af9a-4299-8d3e-5fde58d37a96.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/eacd7242-b053-412c-8535-a64740302335.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Soybean___healthy/4fd53ff2-0763-4847-843e-29fddebac7f5.JPG,Soybean___healthy
plantGuard_dataset/images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/9ef53e56-4025-4ca0-b5dd-3114dbe7ba99.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plantGuard_dataset/images/Peach___Bacterial_spot/6f45af1f-1163-4885-b4fb-e8c87bf22a33.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/7a32bc98-6af8-4448-a979-579a947b3f23.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Soybean___healthy/ca0705fc-5cf5-48a0-aca0-8ae1fe000200.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/52ce019a-2a98-4e8f-adff-89c6606b7c4e.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Squash___Powdery_mildew/752d9f85-7bd1-42f8-9bf0-dee0b6f2eb38.JPG,Squash___Powdery_mildew
"plantGuard_dataset/images/Pepper,_bell___Bacterial_spot/4d8b823f-dd77-4193-8c06-867146ba8dad.JPG","Pepper,_bell___Bacterial_spot"
plantGuard_dataset/images/Soybean___healthy/6fae3b54-2ffb-41fe-9715-3893e3e5d4dc.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/0cc0bd35-5905-49b0-8b89-05da52eb8ba5.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/e807f479-d958-4606-a043-9be63d4ab18e.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/6c132608-8e11-4ed5-b951-d55be983f681.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Soybean___healthy/698a0aeb-ecc3-4986-90fa-e2bdb90a2afa.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/649b7fbc-7863-4b9f-8fb1-f12afb4bd650.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/5bdc3fc6-88dc-4d5b-a507-f01f225b7313.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___Common_rust_/eae70c7f-930f-4451-8b1c-ff1fbe2cc232.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Tomato___Bacterial_spot/8ecc848d-8d2a-4bb3-aa35-e96e62020845.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Tomato___Late_blight/5131bb46-963d-422d-a33e-8f0db625cb0d.JPG,Tomato___Late_blight
plantGuard_dataset/images/Peach___Bacterial_spot/f67e0a89-5c77-482d-bf93-8778486d0e5f.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/380df45f-40c1-4f0f-8f1e-77521737bff4.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/0d9a9ade-b4b8-4391-b035-d2258c0bf041.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Target_Spot/802b41b6-8604-4356-b118-86f372a48f76.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Potato___Late_blight/e32aed1d-ba3c-4498-a974-3894f03749ee.JPG,Potato___Late_blight
plantGuard_dataset/images/Corn_(maize)___Common_rust_/3a354204-9568-4edc-8fcc-e7043da2b07a.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Blueberry___healthy/1b760611-80c8-4d29-b3d4-c265adcabf18.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Bacterial_spot/b8dc87ae-1361-4d14-93ba-341b3526daa5.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Tomato___Leaf_Mold/b108cebc-1d2b-4bc2-ad08-3c6067bd8a71.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Peach___healthy/221b40cc-840c-4293-8da4-3b4a794a589a.JPG,Peach___healthy
plantGuard_dataset/images/Corn_(maize)___Common_rust_/fc00b185-9546-4a40-a2fc-871d6edbe62c.JPG,Corn_(maize)___Common_rust_
